championship_name,event__name,round_name,rank,name,dob,score
2018 Asian Games,Double Trap Men,Final,2,VIHAN Shardul,11 JAN 2003,73
2018 Asian Games,Double Trap Men,Final,3,AL MARRI Hamad Ali,9 SEP 1975,53
2018 Asian Games,Double Trap Men,Final,4,LIU Anlong,11 MAR 1980,43
2018 Asian Games,Double Trap Men,Final,5,HWANG Sungjin,1 OCT 1990,36
2018 Asian Games,Double Trap Men,Final,6,ALKAABI Khaled,25 JUN 1985,24
2018 Asian Games,Double Trap Men,Qualification,1,VIHAN Shardul,11 JAN 2003,141
2018 Asian Games,Double Trap Men,Qualification,2,AL MARRI Hamad Ali,9 SEP 1975,139
2018 Asian Games,Double Trap Men,Qualification,3,SHIN Hyunwoo,6 FEB 1984,10
2018 Asian Games,Double Trap Men,Qualification,4,LIU Anlong,11 MAR 1980,9
2018 Asian Games,Double Trap Men,Qualification,5,ALKAABI Khaled,25 JUN 1985,4
2018 Asian Games,Double Trap Men,Qualification,6,HWANG Sungjin,1 OCT 1990,3
2018 Asian Games,Double Trap Men,Qualification,7,QI Ying,23 JAN 1997,135
2018 Asian Games,Double Trap Men,Qualification,8,IQBAL Aamer,1 JAN 1972,134
2018 Asian Games,Double Trap Men,Qualification,9,MITTAL Ankur,30 MAR 1992,134
2018 Asian Games,Double Trap Men,Qualification,10,AL SHUHOUMI Hussein Rashid Ali,,134
2018 Asian Games,Double Trap Men,Qualification,11,NADEEM Muhammad Farrukh,,133
2018 Asian Games,Double Trap Men,Qualification,12,ALAFASI Ahmad,10 JAN 1983,132
2018 Asian Games,Double Trap Men,Qualification,13,MOHSIN Abdulbaset Mohd,15 JUL 1970,128
2018 Asian Games,Double Trap Men,Qualification,14,CHUANG Hanlin,28 APR 1994,128
2018 Asian Games,Double Trap Men,Qualification,15,KOLOMOYETS Maxim,16 APR 1986,127
2018 Asian Games,Double Trap Men,Qualification,16,ALMUTAIRI Saad,29 AUG 1983,127
2018 Asian Games,Double Trap Men,Qualification,17,KHASSYANOV Viktor,18 JUN 1984,125
2018 Asian Games,Double Trap Men,Qualification,18,ENG Wei Jin,4 JUL 2002,124
2018 Asian Games,Double Trap Men,Qualification,19,SANTOSO Anas Muhsinun Joko,,103
2018 Asian Games,Double Trap Men,Qualification,20,RIADI Slamet,12 APR 1974,96
2018 Asian Games,10m Running Target Men,Medal Matches,1,JEONG Youjin,18 DEC 1983,6
2018 Asian Games,10m Running Target Men,Medal Matches,2,PAK Myong Won,1 JAN 1986,4
2018 Asian Games,10m Running Target Men,Medal Matches,3,NGO Huu Vuong,28 NOV 1989,6
2018 Asian Games,10m Running Target Men,Medal Matches,4,CHO Sejong,18 AUG 1978,1
2018 Asian Games,10m Running Target Men,Medal Matches,1,PAK Myong Won,1 JAN 1986,7
2018 Asian Games,10m Running Target Men,Medal Matches,2,CHO Sejong,18 AUG 1978,5
2018 Asian Games,10m Running Target Men,Medal Matches,3,JEONG Youjin,18 DEC 1983,6
2018 Asian Games,10m Running Target Men,Medal Matches,4,NGO Huu Vuong,28 NOV 1989,3
2018 Asian Games,10m Running Target Men,Qualification,1,PAK Myong Won,1 JAN 1986,94
2018 Asian Games,10m Running Target Men,Qualification,2,NGO Huu Vuong,28 NOV 1989,95
2018 Asian Games,10m Running Target Men,Qualification,3,JEONG Youjin,18 DEC 1983,91
2018 Asian Games,10m Running Target Men,Qualification,4,CHO Sejong,18 AUG 1978,93
2018 Asian Games,10m Running Target Men,Qualification,5,PUTRA Muhammad Sejahtera Dwi,,99
2018 Asian Games,10m Running Target Men,Qualification,6,XIE Durun,26 DEC 1989,98
2018 Asian Games,10m Running Target Men,Qualification,7,KWON Kwang Il,9 MAY 1990,99
2018 Asian Games,10m Running Target Men,Qualification,8,ABOUTEAMA Mohamed Abdelmohsin,,96
2018 Asian Games,10m Running Target Men,Qualification,9,IBRAYEV Bakhtiyar,8 OCT 1986,96
2018 Asian Games,10m Running Target Men,Qualification,10,GAN Yu,15 JUL 1996,94
2018 Asian Games,10m Running Target Men,Qualification,11,JULIO Irfandi,21 JUL 1994,93
2018 Asian Games,10m Running Target Men,Qualification,12,TRAN Hoang Vu,16 JUN 1984,96
2018 Asian Games,10m Running Target Men,Qualification,13,MOLOGLY Rassim,15 OCT 1985,93
2018 Asian Games,10m Running Target Mixed Men,Competition,1,PAK Myong Won,1 JAN 1986,97
2018 Asian Games,10m Running Target Mixed Men,Competition,2,PUTRA Muhammad Sejahtera Dwi,,97
2018 Asian Games,10m Running Target Mixed Men,Competition,3,GAN Yu,15 JUL 1996,96
2018 Asian Games,10m Running Target Mixed Men,Competition,4,KWAK Yongbin,25 MAY 1994,92
2018 Asian Games,10m Running Target Mixed Men,Competition,5,IBRAYEV Bakhtiyar,8 OCT 1986,93
2018 Asian Games,10m Running Target Mixed Men,Competition,6,MOLOGLY Rassim,15 OCT 1985,95
2018 Asian Games,10m Running Target Mixed Men,Competition,7,JO Yong Chol,6 AUG 1987,96
2018 Asian Games,10m Running Target Mixed Men,Competition,8,NGO Huu Vuong,28 NOV 1989,99
2018 Asian Games,10m Running Target Mixed Men,Competition,9,CHO Sejong,18 AUG 1978,95
2018 Asian Games,10m Running Target Mixed Men,Competition,10,XIE Durun,26 DEC 1989,89
2018 Asian Games,10m Running Target Mixed Men,Competition,11,TRAN Hoang Vu,16 JUN 1984,91
2018 Asian Games,10m Running Target Mixed Men,Competition,12,ABOUTEAMA Mohamed Abdelmohsin,,92
2018 Asian Games,10m Running Target Mixed Men,Competition,13,PRATAMA Pahriz Nugra,11 JUL 1995,88
2018 Asian Games,10m Air Rifle Women,Final,1,ZHAO Ruozhu,7 AUG 1998,250.9
2018 Asian Games,10m Air Rifle Women,Final,2,JUNG Eunhea,27 SEP 1989,248.6
2018 Asian Games,10m Air Rifle Women,Final,3,GANKHUYAG N,27 JUN 1994,227.4
2018 Asian Games,10m Air Rifle Women,Final,4,SADEGHIAN Armina,22 JAN 2002,206.3
2018 Asian Games,10m Air Rifle Women,Final,5,CHANDELA Apurvi,4 JAN 1993,186.0
2018 Asian Games,10m Air Rifle Women,Final,6,P VELOSO ML,,164.0
2018 Asian Games,10m Air Rifle Women,Final,7,AHMADI Elaheh,31 MAY 1982,141.8
2018 Asian Games,10m Air Rifle Women,Final,8,LIN Yingshin,22 APR 1999,121.2
2018 Asian Games,10m Air Rifle Women,Qualification,1,ZHAO Ruozhu,7 AUG 1998,631.9
2018 Asian Games,10m Air Rifle Women,Qualification,2,CHANDELA Apurvi,4 JAN 1993,629.4
2018 Asian Games,10m Air Rifle Women,Qualification,3,JUNG Eunhea,27 SEP 1989,627.0
2018 Asian Games,10m Air Rifle Women,Qualification,4,GANKHUYAG Nandinzaya,27 JUN 1994,626.6
2018 Asian Games,10m Air Rifle Women,Qualification,5,AHMADI Elaheh,31 MAY 1982,626.2
2018 Asian Games,10m Air Rifle Women,Qualification,6,SADEGHIAN Armina,22 JAN 2002,624.7
2018 Asian Games,10m Air Rifle Women,Qualification,7,P VELOSO Martina Lindsay,,624.3
2018 Asian Games,10m Air Rifle Women,Qualification,8,LIN Yingshin,22 APR 1999,624.0
2018 Asian Games,10m Air Rifle Women,Qualification,9,KEUM Jihyeon,17 MAR 2000,623.0
2018 Asian Games,10m Air Rifle Women,Qualification,10,ROSLI Nur Izazi,17 AUG 2000,622.3
2018 Asian Games,10m Air Rifle Women,Qualification,11,WU Mingyang,21 JAN 1997,621.4
2018 Asian Games,10m Air Rifle Women,Qualification,12,DEWI Fidela Puspa,10 OCT 1994,621.2
2018 Asian Games,10m Air Rifle Women,Qualification,13,SER Xiang Wei Jasmine,24 SEP 1990,620.9
2018 Asian Games,10m Air Rifle Women,Qualification,14,VALARIVAN Elavenil,2 AUG 1999,620.8
2018 Asian Games,10m Air Rifle Women,Qualification,15,DARYANTI Monica,30 JUL 1994,620.2
2018 Asian Games,10m Air Rifle Women,Qualification,16,SHIMIZU Ayano,18 NOV 1990,620.1
2018 Asian Games,10m Air Rifle Women,Qualification,17,MAMEDOVA Sakina,13 DEC 1985,619.7
2018 Asian Games,10m Air Rifle Women,Qualification,18,CHEN Yunyun,20 FEB 2001,619.5
2018 Asian Games,10m Air Rifle Women,Qualification,19,CHULUUNBADRAKH Narantuya,,619.3
2018 Asian Games,10m Air Rifle Women,Qualification,20,STAROSTINA Violetta,13 MAY 1998,619.1
2018 Asian Games,10m Air Rifle Women,Qualification,21,NGUYEN Huyen Trang,23 MAR 1997,617.4
2018 Asian Games,10m Air Rifle Women,Qualification,22,MALINOVSKAYA Alexandra,21 AUG 1990,616.6
2018 Asian Games,10m Air Rifle Women,Qualification,23,MORAKOT Tararat,12 OCT 2003,613.5
2018 Asian Games,10m Air Rifle Women,Qualification,24,IWAKI Ai,1 SEP 2000,613.0
2018 Asian Games,10m Air Rifle Women,Qualification,25,SULTANA Ummey Zakia,23 DEC 1993,612.6
2018 Asian Games,10m Air Rifle Women,Qualification,26,SHCHUKOVSKAIA Anastasiia,,612.2
2018 Asian Games,10m Air Rifle Women,Qualification,27,LAGUTENKO Malika,15 MAY 2000,612.2
2018 Asian Games,10m Air Rifle Women,Qualification,28,ALDOSERI Safa,28 OCT 1993,610.7
2018 Asian Games,10m Air Rifle Women,Qualification,29,CHOTPHIBUNSIN Thanyalak,,610.6
2018 Asian Games,10m Air Rifle Women,Qualification,30,AL TARSHI Amina Khamis Abdullah,,610.5
2018 Asian Games,10m Air Rifle Women,Qualification,31,RAHMA Hanan,25 JUN 1997,610.3
2018 Asian Games,10m Air Rifle Women,Qualification,32,PARDABAEVA Zaynab,2 MAY 2001,610.0
2018 Asian Games,10m Air Rifle Women,Qualification,33,AL-HASANI Siham Nasser Said,,610.0
2018 Asian Games,10m Air Rifle Women,Qualification,34,RATNA Sharmin Akter,24 MAR 1988,609.7
2018 Asian Games,10m Air Rifle Women,Qualification,35,KONOMOTO Maki,16 DEC 1984,609.3
2018 Asian Games,10m Air Rifle Women,Qualification,36,RI Un Gyong,23 MAY 1989,607.1
2018 Asian Games,10m Air Rifle Women,Qualification,37,RAEES Nadra,11 FEB 1978,607.0
2018 Asian Games,10m Air Rifle Women,Qualification,38,SOHAIL Minhal,3 JAN 1995,605.2
2018 Asian Games,10m Air Rifle Women,Qualification,39,AYE MYAT YADANAR Oo,23 JUN 1996,604.6
2018 Asian Games,10m Air Rifle Women,Qualification,40,ACUNA Amparo Teresa,10 JUN 1997,603.7
2018 Asian Games,10m Air Rifle Women,Qualification,41,AL ASEIRI Matara Fahad,4 MAR 1984,599.4
2018 Asian Games,10m Air Rifle Women,Qualification,42,ALMAAZMI Latifa,10 SEP 2000,598.3
2018 Asian Games,10m Air Rifle Women,Qualification,43,KASMALIEVA Tumar,15 MAY 2000,596.7
2018 Asian Games,10m Air Rifle Women,Qualification,44,MAHBOOB Marwa,31 JAN 1990,595.8
2018 Asian Games,10m Air Rifle Women,Qualification,45,PARIYAR Kalpana,19 JAN 1995,594.8
2018 Asian Games,10m Air Rifle Women,Qualification,46,NEPA Sushmita,3 OCT 2000,587.1
2018 Asian Games,50m Rifle 3 Positions Women,Final,1,GANKHUYAG Nandinzaya,27 JUN 1994,458.8
2018 Asian Games,50m Rifle 3 Positions Women,Final,2,CHULUUNBADRAKH N,,451.4
2018 Asian Games,50m Rifle 3 Positions Women,Final,3,JAMBOZORG Mahlagha,15 AUG 1991,441.2
2018 Asian Games,50m Rifle 3 Positions Women,Final,4,SER Xiang Wei Jasmine,24 SEP 1990,430.9
2018 Asian Games,50m Rifle 3 Positions Women,Final,5,JEONG Mira,16 FEB 1987,420.0
2018 Asian Games,50m Rifle 3 Positions Women,Final,6,BAE Sanghee,1 FEB 1992,409.7
2018 Asian Games,50m Rifle 3 Positions Women,Final,7,AHMADI Elaheh,31 MAY 1982,400.6
2018 Asian Games,50m Rifle 3 Positions Women,Final,8,P VELOSO ML,,398.2
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,1,GANKHUYAG Nandinzaya,27 JUN 1994,391
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,2,CHULUUNBADRAKH Narantuya,,395
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,3,SER Xiang Wei Jasmine,24 SEP 1990,383
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,4,AHMADI Elaheh,31 MAY 1982,386
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,5,BAE Sanghee,1 FEB 1992,392
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,6,JAMBOZORG Mahlagha,15 AUG 1991,381
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,7,JEONG Mira,16 FEB 1987,383
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,8,P VELOSO Martina Lindsay,,384
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,9,MOUDGIL Anjum,5 JAN 1994,392
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,10,MALINOVSKAYA Alexandra,21 AUG 1990,385
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,11,SHIMIZU Ayano,18 NOV 1990,382
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,12,PLENGSAENGTHONG R,,394
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,13,ZHANG Binbin,23 FEB 1989,390
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,14,STAROSTINA Violetta,13 MAY 1998,382
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,15,CHOTPHIBUNSIN Thanyalak,,386
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,16,TOISHI Mai,26 MAR 1991,387
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,17,NITHYANANDAM Gaayathri,22 APR 1996,383
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,18,WANG Zeru,26 FEB 2000,381
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,19,ALDOSERI Safa,28 OCT 1993,387
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,20,KUZNETSOVA Elena,1 AUG 1982,385
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,21,NGUYEN Thi Ngan,8 JUN 1994,378
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,22,MAMEDOVA Sakina,13 DEC 1985,385
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,23,NGUYEN Huyen Trang,23 MAR 1997,377
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,24,TOYYIBA Vidya Rafika Rahmatan,,379
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,25,AKTER Suraiya,5 MAR 1983,375
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,26,ACUNA Amparo Teresa,10 JUN 1997,376
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,27,AL-HASANI Siham Nasser Said,,377
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,28,RAEES Nadra,11 FEB 1978,374
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,29,ALDOSERI Sara,17 OCT 1992,373
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,30,AL TARSHI,,359
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,31,AL ASEIRI Matara Fahad,4 MAR 1984,370
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,32,ARDY Maharani,14 NOV 1986,376
2018 Asian Games,50m Rifle 3 Positions Women,Qualification,33,SHILPA Sarmin,9 JAN 1986,368
2018 Asian Games,10m Air Pistol Women,Final,1,WANG Qian,30 JUN 1993,240.3
2018 Asian Games,10m Air Pistol Women,Final,2,KIM Minjung,26 MAR 1997,237.6
2018 Asian Games,10m Air Pistol Women,Final,3,SIDHU Heena,29 AUG 1989,219.2
2018 Asian Games,10m Air Pistol Women,Final,4,SEBGHATOLLAHI G,20 DEC 1990,192.9
2018 Asian Games,10m Air Pistol Women,Final,5,BHAKER Manu,18 FEB 2002,176.2
2018 Asian Games,10m Air Pistol Women,Final,6,KWAK Junghye,19 NOV 1986,155.6
2018 Asian Games,10m Air Pistol Women,Final,7,BUI Thuy Thu Thuy,8 OCT 2002,134.0
2018 Asian Games,10m Air Pistol Women,Final,8,YU Aiwen,27 DEC 1995,114.5
2018 Asian Games,10m Air Pistol Women,Qualification,1,WANG Qian,30 JUN 1993,580-19x
2018 Asian Games,10m Air Pistol Women,Qualification,2,KIM Minjung,26 MAR 1997,575-17x
2018 Asian Games,10m Air Pistol Women,Qualification,3,BHAKER Manu,18 FEB 2002,574-20x
2018 Asian Games,10m Air Pistol Women,Qualification,4,SEBGHATOLLAHI Golnoush,20 DEC 1990,571-21x
2018 Asian Games,10m Air Pistol Women,Qualification,5,YU Aiwen,27 DEC 1995,571-17x
2018 Asian Games,10m Air Pistol Women,Qualification,6,KWAK Junghye,19 NOV 1986,571-13x
2018 Asian Games,10m Air Pistol Women,Qualification,7,SIDHU Heena,29 AUG 1989,571-12x
2018 Asian Games,10m Air Pistol Women,Qualification,8,BUI Thuy Thu Thuy,8 OCT 2002,570-16x
2018 Asian Games,10m Air Pistol Women,Qualification,9,TEH Xiu Hong,11 MAR 1994,570-11x
2018 Asian Games,10m Air Pistol Women,Qualification,10,SHING Ho Ching,1 MAR 1994,569-16x
2018 Asian Games,10m Air Pistol Women,Qualification,11,SATO Akiko,9 FEB 1984,569-13x
2018 Asian Games,10m Air Pistol Women,Qualification,12,JAFARI Amitis,2 JUN 1996,568-16x
2018 Asian Games,10m Air Pistol Women,Qualification,13,JI Xiaojing,18 JUN 1988,568-14x
2018 Asian Games,10m Air Pistol Women,Qualification,14,PRUCKSAKORN Tanyaporn,8 JAN 1990,568-13x
2018 Asian Games,10m Air Pistol Women,Qualification,15,CHAMPALAT Natsara,9 MAR 2003,567-10x
2018 Asian Games,10m Air Pistol Women,Qualification,16,ALMUBARAK Aldana Saad,1 SEP 1993,566-21x
2018 Asian Games,10m Air Pistol Women,Qualification,17,MOHAMUD Nasra Mohaed,2 JUN 1990,566-14x
2018 Asian Games,10m Air Pistol Women,Qualification,18,LE Thi Linh Chi,4 JAN 1976,566-12x
2018 Asian Games,10m Air Pistol Women,Qualification,19,BAIBUSSINOVA Zauresh,13 JUL 1970,565-13x
2018 Asian Games,10m Air Pistol Women,Qualification,20,TIEN Chiachen,20 DEC 1983,565-13x
2018 Asian Games,10m Air Pistol Women,Qualification,21,KOMENDRA Yuliya,3 OCT 1995,562-17x
2018 Asian Games,10m Air Pistol Women,Qualification,22,MAY,1 SEP 1988,560-14x
2018 Asian Games,10m Air Pistol Women,Qualification,23,NG Bibiana Pei Chin,16 JUN 1977,560
2018 Asian Games,10m Air Pistol Women,Qualification,24,CHEAH Joseline Lee Yean,,559
2018 Asian Games,10m Air Pistol Women,Qualification,25,HEW Shirlene Yun Ting,3 AUG 2002,557-17x
2018 Asian Games,10m Air Pistol Women,Qualification,26,LO Ka Kay Cynthia,27 JUL 1982,557-11x
2018 Asian Games,10m Air Pistol Women,Qualification,27,ALALI Wafa,9 NOV 1980,556-16x
2018 Asian Games,10m Air Pistol Women,Qualification,28,ASHA Armin,22 JUL 1986,556-13x
2018 Asian Games,10m Air Pistol Women,Qualification,29,HAN Yong Sim,22 FEB 1998,556-11x
2018 Asian Games,10m Air Pistol Women,Qualification,30,FERDOUS Ardina,14 FEB 1993,556
2018 Asian Games,10m Air Pistol Women,Qualification,31,TUMURCHUDUR Bayartsetseg,,554
2018 Asian Games,10m Air Pistol Women,Qualification,32,ALDHAHRI Salwa,27 APR 1979,553-10x
2018 Asian Games,10m Air Pistol Women,Qualification,33,YAMADA Satoko,26 FEB 1995,549
2018 Asian Games,10m Air Pistol Women,Qualification,34,AL BALUSHI Wadha Nasiir Nasser,,546-12x
2018 Asian Games,10m Air Pistol Women,Qualification,35,OTRYAD Gundegmaa,23 MAY 1978,545
2018 Asian Games,10m Air Pistol Women,Qualification,36,LAGUTENKO Dilorom,23 JAN 1969,543
2018 Asian Games,10m Air Pistol Women,Qualification,37,SAID Bary Agustini,6 AUG 1961,543
2018 Asian Games,10m Air Pistol Women,Qualification,38,MOHAMED Riusha,8 MAR 1989,531
2018 Asian Games,10m Air Pistol Women,Qualification,39,PIK,6 OCT 1989,525
2018 Asian Games,10m Air Pistol Women,Qualification,40,ALMIRA Talitha Judith,31 MAY 1995,522
2018 Asian Games,10m Air Pistol Women,Qualification,41,PHOMMAKONG Viengsavanh,5 DEC 1985,517
2018 Asian Games,10m Air Pistol Women,Qualification,42,ASMA Abdul Latheef,21 DEC 1984,0
2018 Asian Games,10m Air Pistol Women,Qualification,43,de JESUS XIMENES Cristina A. M.,,470
2018 Asian Games,25m Pistol Women,Final,1,SARNOBAT RJ,30 OCT 1990,34
2018 Asian Games,25m Pistol Women,Final,2,YANGPAIBOON N,12 MAY 1988,34
2018 Asian Games,25m Pistol Women,Final,3,KIM Minjung,26 MAR 1997,29
2018 Asian Games,25m Pistol Women,Final,4,LIN Yuemei,29 JAN 1994,26
2018 Asian Games,25m Pistol Women,Final,5,PRUCKSAKORN T,8 JAN 1990,20
2018 Asian Games,25m Pistol Women,Final,6,BHAKER Manu,18 FEB 2002,16
2018 Asian Games,25m Pistol Women,Final,7,KWAK Junghye,19 NOV 1986,13
2018 Asian Games,25m Pistol Women,Final,8,TIEN Chiachen,20 DEC 1983,8
2018 Asian Games,25m Pistol Women,Qualification,1,BHAKER Manu,18 FEB 2002,297
2018 Asian Games,25m Pistol Women,Qualification,2,KIM Minjung,26 MAR 1997,294
2018 Asian Games,25m Pistol Women,Qualification,3,YANGPAIBOON Naphaswan,12 MAY 1988,291
2018 Asian Games,25m Pistol Women,Qualification,4,PRUCKSAKORN Tanyaporn,8 JAN 1990,289
2018 Asian Games,25m Pistol Women,Qualification,5,LIN Yuemei,29 JAN 1994,289
2018 Asian Games,25m Pistol Women,Qualification,6,TIEN Chiachen,20 DEC 1983,287
2018 Asian Games,25m Pistol Women,Qualification,7,SARNOBAT Rahi Jeevan,30 OCT 1990,288
2018 Asian Games,25m Pistol Women,Qualification,8,KWAK Junghye,19 NOV 1986,288
2018 Asian Games,25m Pistol Women,Qualification,9,AZAHARI Alia Sazana,9 DEC 1991,284
2018 Asian Games,25m Pistol Women,Qualification,10,KONISHI Yukari,11 JAN 1979,288
2018 Asian Games,25m Pistol Women,Qualification,11,OTRYAD Gundegmaa,23 MAY 1978,283
2018 Asian Games,25m Pistol Women,Qualification,12,YAO Yushi,4 JUN 1989,285
2018 Asian Games,25m Pistol Women,Qualification,13,SATO Akiko,9 FEB 1984,288
2018 Asian Games,25m Pistol Women,Qualification,14,TEH Xiu Hong,11 MAR 1994,290
2018 Asian Games,25m Pistol Women,Qualification,15,LE Thi Linh Chi,4 JAN 1976,286
2018 Asian Games,25m Pistol Women,Qualification,16,MAY,1 SEP 1988,282
2018 Asian Games,25m Pistol Women,Qualification,17,WU Chiaying,25 OCT 1992,282
2018 Asian Games,25m Pistol Women,Qualification,18,PHAM Thi Ha,12 JUL 1979,281
2018 Asian Games,25m Pistol Women,Qualification,19,BAIBUSSINOVA Zauresh,13 JUL 1970,285
2018 Asian Games,25m Pistol Women,Qualification,20,TAN Ling Chiao Nicole,1 APR 1990,282
2018 Asian Games,25m Pistol Women,Qualification,21,KOMENDRA Yuliya,3 OCT 1995,281
2018 Asian Games,25m Pistol Women,Qualification,22,SEBGHATOLLAHI Golnoush,20 DEC 1990,283
2018 Asian Games,25m Pistol Women,Qualification,23,TSOGBADRAKH Munkhzul,28 FEB 1981,281
2018 Asian Games,25m Pistol Women,Qualification,24,ALMUBARAK Aldana Saad,1 SEP 1993,274
2018 Asian Games,25m Pistol Women,Qualification,25,NG Bibiana Pei Chin,16 JUN 1977,282
2018 Asian Games,25m Pistol Women,Qualification,26,MOHAMUD Nasra Mohaed,2 JUN 1990,282
2018 Asian Games,25m Pistol Women,Qualification,27,ROSTAMIYAN Haniyeh,11 SEP 1998,282
2018 Asian Games,25m Pistol Women,Qualification,28,RARUN Oktofin,13 OCT 1977,280
2018 Asian Games,25m Pistol Women,Qualification,29,PRATIWI Eva Yulianti,1 JUL 1997,280
2018 Asian Games,25m Pistol Women,Qualification,30,MOHAMED Riusha,8 MAR 1989,272
2018 Asian Games,25m Pistol Women,Qualification,31,ASMA Abdul Latheef,21 DEC 1984,265
2018 Asian Games,25m Pistol Women,Qualification,32,AL BALUSHI Wadha Nasiir Nasser,,280
2018 Asian Games,Trap Women,Final,1,ZHANG Xinqiu,3 SEP 1994,45
2018 Asian Games,Trap Women,Final,2,KANG Geeeun,15 OCT 1990,44
2018 Asian Games,Trap Women,Final,3,BASSIL Ray,20 OCT 1988,34
2018 Asian Games,Trap Women,Final,4,DMITRIYENKO Mariya,24 MAR 1988,27
2018 Asian Games,Trap Women,Final,5,LIU Wanyu,16 JUL 1995,19
2018 Asian Games,Trap Women,Final,6,TOMAR Seema,1 JAN 1982,12
2018 Asian Games,Trap Women,Qualification,1,DMITRIYENKO Mariya,24 MAR 1988,119
2018 Asian Games,Trap Women,Qualification,2,BASSIL Ray,20 OCT 1988,119
2018 Asian Games,Trap Women,Qualification,3,LIU Wanyu,16 JUL 1995,118
2018 Asian Games,Trap Women,Qualification,4,ZHANG Xinqiu,3 SEP 1994,117
2018 Asian Games,Trap Women,Qualification,5,KANG Geeeun,15 OCT 1990,4
2018 Asian Games,Trap Women,Qualification,6,TOMAR Seema,1 JAN 1982,3
2018 Asian Games,Trap Women,Qualification,7,SINGH Shreyasi,29 AUG 1991,0
2018 Asian Games,Trap Women,Qualification,8,WANG Xiaojing,3 MAY 1992,0
2018 Asian Games,Trap Women,Qualification,9,LEE Bona,22 JUL 1981,114
2018 Asian Games,Trap Women,Qualification,10,PAK Yong Hui,24 AUG 1970,112
2018 Asian Games,Trap Women,Qualification,11,AL ABDULLA Amna Mesaad,1 NOV 1980,111
2018 Asian Games,Trap Women,Qualification,12,LIN Yichun,5 JUL 1981,111
2018 Asian Games,Trap Women,Qualification,13,ALHAWAL Shahd,6 MAR 1987,110
2018 Asian Games,Trap Women,Qualification,14,FARAHPOUR BIDGOLI Shiva,,110
2018 Asian Games,Trap Women,Qualification,15,ALHAWAL Sarah,6 MAR 1987,109
2018 Asian Games,Trap Women,Qualification,16,KITCHAROEN Chattaya,17 AUG 1990,108
2018 Asian Games,Trap Women,Qualification,17,DAVYDOVA Anastassiya,13 FEB 1985,107
2018 Asian Games,Trap Women,Qualification,18,PRAMUANCHOK Napapha,28 APR 1985,107
2018 Asian Games,Trap Women,Qualification,19,SIRANI Sepideh,4 SEP 1989,107
2018 Asian Games,Trap Women,Qualification,20,NAKAYAMA Yukie,7 MAR 1979,106
2018 Asian Games,Trap Women,Qualification,21,KIM Yong Bok,18 JUL 1984,105
2018 Asian Games,Trap Women,Qualification,22,AL KHALAF Kholoud Hassan,,105
2018 Asian Games,Trap Women,Qualification,23,SILIMANG Sylvia,8 SEP 1970,96
2018 Asian Games,Trap Women,Qualification,24,SARMUNAH Sarmunah,28 MAY 1968,90
2018 Asian Games,Trap Women,Qualification,25,ZORIGOO Namduun,2 AUG 1997,12
2018 Asian Games,Trap Women,Qualification,1,BASSIL Ray,20 OCT 1988,119
2018 Asian Games,Trap Women,Qualification,1,DMITRIYENKO Mariya,24 MAR 1988,119
2018 Asian Games,Trap Women,Qualification,3,LIU Wanyu,16 JUL 1995,118
2018 Asian Games,Trap Women,Qualification,4,ZHANG Xinqiu,3 SEP 1994,117
2018 Asian Games,Trap Women,Qualification,5,SINGH Shreyasi,29 AUG 1991,116
2018 Asian Games,Trap Women,Qualification,5,KANG Geeeun,15 OCT 1990,116
2018 Asian Games,Trap Women,Qualification,5,WANG Xiaojing,3 MAY 1992,116
2018 Asian Games,Trap Women,Qualification,5,TOMAR Seema,1 JAN 1982,116
2018 Asian Games,Trap Women,Qualification,9,LEE Bona,22 JUL 1981,114
